Date,Clients per Month,.COM Clients per Month,.ORG Clients per Month,.EDU Clients per Month,.NET Clients per Month,.Gov Clients per Month,Requests per Month,.COM Requests per Month,.ORG Requests per Month,.EDU Requests per Month,.NET Requests per Month,.Gov Requests per Month,Values per Month without log scale,.COM Values per Month,.ORG Values per Month,.EDU Values per Month,.NET Values per Month,.Gov Values per Month
10/1/2013,1,1,0,0,0,0,2,1,0,1,0,0,3955,3955,0,0,0,0
11/1/2013,1,0,1,0,0,0,1,0,1,0,0,0,8494,0,8494,0,0,0
12/1/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2014,5,0,0,0,3,0,1423,0,0,1,36,0,1168623,0,0,0,1152,0
5/1/2014,4,0,0,0,2,0,940,0,0,0,192,0,182234,0,0,0,177064,0
6/1/2014,1,0,0,1,0,0,16,0,0,16,0,0,545792,0,0,545792,0,0
7/1/2014,1,0,0,1,0,0,761,0,0,48,0,0,3555,0,0,3555,0,0
8/1/2014,3,0,0,1,1,0,1362,305,0,313,267,0,1975841,0,0,8736,1967105,0
9/1/2014,10,1,0,1,3,0,2656,19,0,103,1802,0,1695846,218589,0,2496,1179236,0
10/1/2014,19,0,0,4,7,0,1756,0,0,327,268,0,6842091,0,0,710311,3557601,0
11/1/2014,7,0,0,1,3,0,286,0,0,35,49,0,3927289,0,0,2843,1524452,0
